
Day,Temp-Max,Temp-Avg,Temp-Min,Dew_Point-Max,Dew_Point-AVG,Dew_Point-Min,Humidity-Max,Humidity-Avg,Humidity-Min,Wind_Speed-Max,Wind_Speed-Avg,Wind_Speed-Min,Pressure-Max,Pressure-Avg,Pressure-Min,Precipitation
1,51,43.4,37,33,30.8,29,79,61.9,48,12,7.8,0,29.4,29.3,29.2,0
2,60,44,34,37,30.9,26,78,61.4,42,20,10,0,29.5,29.4,29.3,0
3,37,32.8,30,26,17.3,13,70,53.4,45,24,12.3,6,29.8,29.7,29.5,0
4,43,37.4,30,24,20.2,16,69,50.8,40,14,9.1,3,29.8,29.6,29.4,0
5,71,59.3,43,55,43.1,22,77,55.7,41,28,17.8,8,29.4,29.1,29,0
6,61,44.1,37,52,33.4,28,79,66.3,58,31,15.3,3,29.4,29.3,29,0.21
7,37,34.8,32,32,27.9,18,89,76.7,56,17,13.1,7,29.5,29.3,29.1,0.27
8,41,34.4,28,24,20.2,16,70,56.6,45,14,7.8,3,29.6,29.5,29.4,0.05
9,44,36.6,30,26,22,16,73,56.7,40,14,9.8,6,29.5,29.4,29.3,0
10,32,28,26,21,16.7,13,81,63.8,47,13,7.3,3,29.6,29.5,29.5,0
11,33,25.7,18,21,13.7,-1,82,62.6,36,25,12.8,5,29.5,29.4,29.3,0.01
12,24,19,13,8,2.3,-1,57,48.5,38,17,13.8,10,29.5,29.5,29.4,0
13,23,22.5,22,8,8,8,55,54,53,12,10.5,9,29.4,29.4,29.3,0
14,65,50.9,40,35,32.8,32,77,53,29,18,10,0,29.5,29.4,29.4,0
15,53,43.5,38,34,32.9,31,79,67.5,48,10,5.2,0,29.6,29.5,29.4,0
16,71,56.3,40,44,39.6,32,77,56.4,34,20,7.8,0,29.4,29.3,29.2,0
17,72,58.3,50,46,42,36,66,55.4,40,12,8,3,29.3,29.2,29.2,0
18,50,44.6,43,41,38.7,35,93,80.6,59,22,13.5,6,29.3,29.1,28.9,0
19,44,41.2,39,39,37.3,35,93,86.3,79,17,11.2,0,29.3,29.1,28.9,0.69
20,63,50,36,37,32.9,30,79,55.2,35,13,6.1,0,29.5,29.4,29.3,0.06
21,76,61.7,47,40,36.9,34,63,42,25,17,9.1,0,29.5,29.4,29.3,0
22,61,55.1,50,48,44.4,36,83,68.5,42,24,15.2,3,29.3,29.2,28.9,0
23,60,53.4,47,54,49.5,43,93,86.5,75,17,10.6,3,28.9,28.8,28.8,0.29
24,47,44,43,43,39.5,37,93,84,76,18,10.9,5,29.1,29,28.9,0.37
25,49,42.8,37,39,33.4,24,86,70.4,43,33,16.5,7,29.1,29.1,29,0.1
26,36,32.8,30,28,19.4,13,76,58.2,47,21,16.4,9,29.4,29.2,29,0.02
27,37,29.5,25,15,11.5,6,63,48,30,17,9.5,3,29.5,29.5,29.4,0
28,35,30,25,16,10.6,6,69,45.4,34,16,9.4,0,29.7,29.6,29.5,0
29,45,38.1,31,21,17.3,13,59,44.1,32,21,13.8,8,29.6,29.4,29.1,0
30,63,56.7,45,59,49.6,23,93,78.8,42,20,11.4,3,29.1,28.7,28.5,0
31,58,41.5,36,56,36.5,29,97,82.7,70,20,11.8,6,29.1,28.8,28.5,0
